,method_name,algo,score,split
0,CondICA,LDA,0.8605263157894737,0
1,CondICA,LDA,0.8894736842105263,1
2,CondICA,LDA,0.8631578947368421,2
3,CondICA,LDA,0.868421052631579,3
4,CondICA,LDA,0.8771929824561403,4
5,CondICA,LDA,0.887719298245614,5
6,CondICA,LDA,0.8535087719298246,6
7,CondICA,LDA,0.8236842105263158,7
8,CondICA,LDA,0.8464912280701754,8
9,CondICA,LDA,0.8578947368421053,9
10,CondICA,RF,0.7850877192982456,0
11,CondICA,RF,0.7947368421052632,1
12,CondICA,RF,0.8096491228070175,2
13,CondICA,RF,0.7833333333333333,3
14,CondICA,RF,0.8157894736842105,4
15,CondICA,RF,0.8184210526315789,5
16,CondICA,RF,0.769298245614035,6
17,CondICA,RF,0.7333333333333333,7
18,CondICA,RF,0.75,8
19,CondICA,RF,0.7824561403508772,9
